Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Hardware material (product.metafields.shopify.hardware-material),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
multi-circle-interwine-silver-ring,MULTI CIRCLE INTERWINE SILVER RING,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Rings,Silver ring,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,1050000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/18-IMG_4453.jpg?v=1770818089,1,"",false,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
multi-circle-interwine-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/17-IMG_4454.jpg?v=1770818090,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multi-circle-interwine-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/16-IMG_4455.jpg?v=1770818091,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peridot-open-silver-ring,PERIDOT OPEN SILVER RING,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Rings,Silver ring,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,1850000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/24-IMG_4447.jpg?v=1770818087,1,"",false,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
peridot-open-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/23-IMG_4448.jpg?v=1770818089,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peridot-open-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/22-IMG_4449.jpg?v=1770818089,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multi-flower-open-band-silver-ring,MULTI FLOWER OPEN BAND SILVER RING,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Rings,Silver ring,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,990000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/21-IMG_4450.jpg?v=1770818089,1,"",false,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
multi-flower-open-band-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/20-IMG_4451.jpg?v=1770818090,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multi-flower-open-band-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/19-IMG_4452.jpg?v=1770818089,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moonstone-sun-silver-ring,MOONSTONE SUN SILVER RING,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Rings,Silver ring,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,1350000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/27-IMG_4444.jpg?v=1770818088,1,"",false,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
moonstone-sun-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/26-IMG_4445.jpg?v=1770818088,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moonstone-sun-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/25-IMG_4446.jpg?v=1770818088,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle-center-silver-ring,CIRCLE CENTER SILVER RING,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Rings,Silver ring,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,1150000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/30-IMG_4440.jpg?v=1770818089,1,"",false,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
circle-center-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/28-IMG_4442.jpg?v=1770818091,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle-center-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/29-IMG_4441.jpg?v=1770818090,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peacock-tail-silver-ring,PEACOCK TAIL SILVER RING,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Rings,Silver ring,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,650000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/3-IMG_4472.jpg?v=1770818089,1,"",false,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
peacock-tail-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/1-IMG_4476.jpg?v=1770818087,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peacock-tail-silver-ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/2-IMG_4474.jpg?v=1770818086,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big-hoop-65mm-silver-ep,BIG HOOP 65MM SILVER EP,"",VIETJEWELERS,Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Embellishments & Trims > Jewelry Findings,Ear hoop,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,1450000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/6-IMG_4468.jpg?v=1770818091,1,"",false,,,5996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
big-hoop-65mm-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/4-IMG_4471.jpg?v=1770818090,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big-hoop-65mm-silver-ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/5-IMG_4469.jpg?v=1770818091,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big-chain-circle-pole-silver-br,BIG CHAIN CIRCLE POLE SILVER BR,"",VIETJEWELERS,Apparel & Accessories > Jewelry > Bracelets,Chain bracelet,"",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,3250000,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0660/3033/8244/files/8-IMG_4465.jpg?v=1770818092,1,"",false,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
big-chain-circle-pole-silver-br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/7-IMG_4467.jpg?v=1770818092,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big-chain-circle-pole-silver-br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0660/3033/8244/files/9-IMG_4463.jpg?v=1770818094,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
